Eth_Spears_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Museum,Sample ID,Museum ID,Provenance,Taper_Design,Proximal_Design,Delivery,Length,MaxDIA,LocMaxDIA,Percent_LocMaxDIA,PoB,Percent_PoB,DIA_10,DIA_50,DIA_100,DIA_150,DIA_200,DIA_250,DIA_300,DIA_800,DIA_middle,Mass,filter_$,RRankedP,RRankedP_mean,ind_diff_PoB,RMass,RMass_mean,ind_diff_Mass
Horniman,1,NN18962,Oceania,1,1,4,3250,23,1880,58,1565,48,6,10,13,13,15,16,17,22,21,1170,1,27,29.5,2.5,53,29.5,-23.5
Horniman,2,NN18960,Oceania,1,1,4,2790,23,550,20,1113,40,4,9,10,12,14,16,17,21,16,484,1,9,29.5,20.5,20,29.5,9.5
Horniman,3,NN18952,Oceania,1,1,4,2760,24,700,25,1060,38,4,8,10,12,13,14,16,24,15,463,1,6,29.5,23.5,19,29.5,10.5
Horniman,4,NN18950,Oceania,1,1,4,2820,18,1540,55,1400,50,4,11,13,14,16,16,16,16,18,570,1,37,29.5,-7.5,27,29.5,2.5
Horniman,5,NN18958,Oceania,1,1,4,3010,21,900,30,1480,49,6,10,13,13,15,16,16,19,19,782,1,35,29.5,-5.5,37,29.5,-7.5
Horniman,6,34.82,New Hebrides,1,1,4,3020,23,880,29,1360,45,6,7,10,11,13,13,14,24,19,539,1,16,29.5,13.5,24,29.5,5.5
Horniman,7,NN18963,Oceania,1,1,4,3215,21,845,26,1560,49,6,10,11,13,14,16,16,20,19,900,1,30,29.5,-0.5,42.5,29.5,-13
Horniman,8,NN18964,Oceania,1,1,4,3113,19,1040,33,1515,49,6,10,11,13,15,15,16,18,18,650,1,31,29.5,-1.5,32.5,29.5,-3
Horniman,9,NN18961,Oceania,1,1,4,3145,21,1000,32,1480,47,6,9,12,14,16,16,17,19,19,750,1,24,29.5,5.5,35,29.5,-5.5
Horniman,10,8.3.50/1,"Trobiand Islands, Milne Bay, Papua New Guinea, Oce",1,2,4,2755,28,900,33,1220,44,11,16,19,20,21,22,22,28,27,1300,1,14,29.5,15.5,54,29.5,-24.5
Horniman,11,NN18954,Oceania,1,NA,4,2630,19,670,25,1050,40,6,10,11,13,14,15,16,17,16,400,1,10,29.5,19.5,15,29.5,14.5
Horniman,12,6.179,Papua New Guinea,1,1,4,1990,18,950,48,990,50,5,8,11,11,12,13,14,17,18,350,1,38,29.5,-8.5,12,29.5,17.5
Horniman,13,6.181,Papua New Guinea,1,2,4,2480,20,1000,40,1135,46,6,9,12,13,14,15,16,19,19,500,1,21,29.5,8.5,21,29.5,8.5
Horniman,14,NN18903,Australia,1,1,4,2250,15,610,27,1060,47,4,9,9,11,12,13,13,13,13,200,1,25,29.5,4.5,4.5,29.5,25
Horniman,15,NN18949,Oceania,1,1,4,2485,21,1470,59,1245,50,4,7,10,12,13,14,16,20,20,650,1,42,29.5,-12.5,32.5,29.5,-3
Horniman,16,NN18880,New Britain,1,3,4,2345,27,540,23,1060,45,5,7,9,10,11,13,13,19,15,350,1,17,29.5,12.5,12,29.5,17.5
Horniman,17,NN18902,Australia,1,2,4,2235,13,720,32,1090,49,4,8,10,10,11,12,13,13,12,150,1,32,29.5,-2.5,2,29.5,27.5
Horniman,18,NN18970,Solomon Islands? New Georgia,1,NA,2,2060,19,550,27,940,46,5,9,10,11,12,13,14,17,17,300,1,20,29.5,9.5,9,29.5,20.5
Horniman,19,NN18888,Australia,1,2,4,2175,13,200,9,1020,47,5,10,11,13,13,13,13,12,12,200,1,23,29.5,6.5,4.5,29.5,25
