Museum,Sample ID,Museum ID,Provenance,Taper_Design,Proximal_Design,Delivery,Length,MaxDIA,LMD,Percent_LMD,PoB,Percent_PoB,PoB_Group,DIA_10,DIA_50,DIA_100,DIA_150,DIA_200,DIA_250,DIA_300,DIA_800,DIA_Mid,Mass
Horniman,1,NN18962,Oceania,1,1,4,3250,23,1880,58,1565,48,1,6,10,13,13,15,16,17,22,21,1170
Horniman,2,NN18960,Oceania,1,1,4,2790,23,550,20,1113,40,1,4,9,10,12,14,16,17,21,16,484
Horniman,3,NN18952,Oceania,1,1,4,2760,24,700,25,1060,38,1,4,8,10,12,13,14,16,24,15,463
Horniman,4,NN18950,Oceania,1,1,4,2820,18,1540,55,1400,50,1,4,11,13,14,16,16,16,16,18,570
Horniman,5,NN18958,Oceania,1,1,4,3010,21,900,30,1480,49,1,6,10,13,13,15,16,16,19,19,782
Horniman,6,34.82,New Hebrides,1,1,4,3020,23,880,29,1360,45,1,6,7,10,11,13,13,14,24,19,539
Horniman,7,NN18963,Oceania,1,1,4,3215,21,845,26,1560,49,1,6,10,11,13,14,16,16,20,19,900
Horniman,8,NN18964,Oceania,1,1,4,3113,19,1040,33,1515,49,1,6,10,11,13,15,15,16,18,18,650
Horniman,9,NN18961,Oceania,1,1,4,3145,21,1000,32,1480,47,1,6,9,12,14,16,16,17,19,19,750
Horniman,10,8.3.50/1,"Trobiand Islands, Milne Bay, Papua New Guinea, Oce",1,2,4,2755,28,900,33,1220,44,1,11,16,19,20,21,22,22,28,27,1300
Horniman,11,NN18954,Oceania,1,NA,4,2630,19,670,25,1050,40,1,6,10,11,13,14,15,16,17,16,400
Horniman,12,6.179,Papua New Guinea,1,1,4,1990,18,950,48,990,50,1,5,8,11,11,12,13,14,17,18,350
Horniman,13,6.181,Papua New Guinea,1,2,4,2480,20,1000,40,1135,46,1,6,9,12,13,14,15,16,19,19,500
Horniman,14,NN18903,Australia,1,1,4,2250,15,610,27,1060,47,1,4,9,9,11,12,13,13,13,13,200
Horniman,15,NN18949,Oceania,1,1,4,2485,21,1470,59,1245,50,1,4,7,10,12,13,14,16,20,20,650
Horniman,16,NN18880,New Britain,1,3,4,2345,27,540,23,1060,45,1,5,7,9,10,11,13,13,19,15,350
Horniman,17,NN18902,Australia,1,2,4,2235,13,720,32,1090,49,1,4,8,10,10,11,12,13,13,12,150
Horniman,18,NN18970,Solomon Islands? New Georgia,1,NA,2,2060,19,550,27,940,46,1,5,9,10,11,12,13,14,17,17,300
Horniman,19,NN18888,Australia,1,2,4,2175,13,200,9,1020,47,1,5,10,11,13,13,13,13,12,12,200
MAA Camb,20,1917.118,Djeu Wandi From Gonde central New Caledonia,1,1,4,2450,19,575,23,1010,41,1,4,6,8,8,9,10,12,17,14,150
MAA Camb,21,30.455A,New Britain (Papua New Guinea),1,1,4,3430,25,1550,45,1560,45,1,3,8,10,12,13,14,15,19,25,900
MAA Camb,22,Z 42280,Malaysia,2,2,2,1375,13,687,50,700,51,2,6,11,11,12,14,12,13,13,13,150
MAA Camb,23,1947.1,Vanuatu (New Hebrides),1,1,4,2470,23,600,24,1050,43,1,6,12,15,16,18,18,19,22,19,600
MAA Camb,24,1919.5.2,Oceania; Melanesia; New Hebrides; Malekula,1,1,4,2620,25,1405,54,1410,54,2,5,8,10,13,14,14,16,22,25,1150
MAA Camb,25,Z 6377 (,New Zealand,1,1,2,2110,27,1200,57,1140,54,2,7,13,13,14,16,17,18,25,26,800
MAA Camb,26,TEMP.001,New Guinea,1,1,4,2810,21,1000,36,1250,44,1,5,9,11,12,13,14,15,21,19,600
